Accelerator Name,Canonicalized Accelerator Name,On-Demand Service Quota Code,Spot Instance Service Quota Code
A100,a100,L-417A185B,L-7212CCBC
A10G,a10g,L-DB2E81BA,L-3819A6DF
Gaudi HL-205,gaudi hl-205,L-6E869C2A,L-85EED4F7
K520,k520,L-DB2E81BA,L-3819A6DF
K80,k80,L-417A185B,L-7212CCBC
M60,m60,L-DB2E81BA,L-3819A6DF
Radeon Pro V520,radeon pro v520,L-DB2E81BA,L-3819A6DF
T4,t4,L-DB2E81BA,L-3819A6DF
T4g,t4g,L-DB2E81BA,L-3819A6DF
V100,v100,L-417A185B,L-7212CCBC
V100-32GB,v100-32gb,L-417A185B,L-7212CCBC
A100-80GB,a100-80gb,L-417A185B,L-7212CCBC
