InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,GpuInfo,Price,SpotPrice,Region,AvailabilityZone
gx2-8x64x1v100,V100,1,8,64,V100,2.497,,us-south,us-south-1
gx2-8x64x1v100,V100,1,8,64,V100,2.497,,us-south,us-south-2
gx2-8x64x1v100,V100,1,8,64,V100,2.497,,us-south,us-south-3
gx2-8x64x1v100,V100,1,8,64,V100,2.497,,us-east,us-east-1
gx2-8x64x1v100,V100,1,8,64,V100,2.497,,us-east,us-east-2
gx2-8x64x1v100,V100,1,8,64,V100,2.497,,us-east,us-east-3
gx2-8x64x1v100,V100,1,8,64,V100,2.572,,ca-tor,ca-tor-1
gx2-8x64x1v100,V100,1,8,64,V100,2.572,,ca-tor,ca-tor-2
gx2-8x64x1v100,V100,1,8,64,V100,2.572,,ca-tor,ca-tor-3
gx2-8x64x1v100,V100,1,8,64,V100,2.746,,eu-de,eu-de-1
gx2-8x64x1v100,V100,1,8,64,V100,2.746,,eu-de,eu-de-2
gx2-8x64x1v100,V100,1,8,64,V100,2.746,,eu-de,eu-de-3
gx2-8x64x1v100,V100,1,8,64,V100,2.672,,eu-gb,eu-gb-1
gx2-8x64x1v100,V100,1,8,64,V100,2.672,,eu-gb,eu-gb-2
gx2-8x64x1v100,V100,1,8,64,V100,2.672,,eu-gb,eu-gb-3
gx2-8x64x1v100,V100,1,8,64,V100,2.821,,jp-osa,jp-osa-1
gx2-8x64x1v100,V100,1,8,64,V100,2.821,,jp-osa,jp-osa-2
gx2-8x64x1v100,V100,1,8,64,V100,2.821,,jp-osa,jp-osa-3
gx2-8x64x1v100,V100,1,8,64,V100,2.821,,jp-tok,jp-tok-1
gx2-8x64x1v100,V100,1,8,64,V100,2.821,,jp-tok,jp-tok-2
gx2-8x64x1v100,V100,1,8,64,V100,2.821,,jp-tok,jp-tok-3
gx2-8x64x1v100,V100,1,8,64,V100,2.996,,au-syd,au-syd-1
gx2-8x64x1v100,V100,1,8,64,V100,2.996,,au-syd,au-syd-2
gx2-8x64x1v100,V100,1,8,64,V100,2.996,,au-syd,au-syd-3
gx2-8x64x1v100,V100,1,8,64,V100,2.996,,br-sao,br-sao-1
gx2-8x64x1v100,V100,1,8,64,V100,2.996,,br-sao,br-sao-2
gx2-8x64x1v100,V100,1,8,64,V100,2.996,,br-sao,br-sao-3
bx2-8x32,,,8,32,,0.384,,us-east,us-east-1
bx2-8x32,,,8,32,,0.384,,us-east,us-east-2
bx2-8x32,,,8,32,,0.384,,us-east,us-east-3
bx2-8x32,,,8,32,,0.384,,us-south,us-south-1
bx2-8x32,,,8,32,,0.384,,us-south,us-south-2
bx2-8x32,,,8,32,,0.384,,us-south,us-south-3
bx2-8x32,,,8,32,,0.396,,ca-tor,ca-tor-1
bx2-8x32,,,8,32,,0.396,,ca-tor,ca-tor-2
bx2-8x32,,,8,32,,0.396,,ca-tor,ca-tor-3
bx2-8x32,,,8,32,,0.423,,eu-de,eu-de-1
bx2-8x32,,,8,32,,0.423,,eu-de,eu-de-2
bx2-8x32,,,8,32,,0.423,,eu-de,eu-de-3
bx2-8x32,,,8,32,,0.411,,eu-gb,eu-gb-1
bx2-8x32,,,8,32,,0.411,,eu-gb,eu-gb-2
bx2-8x32,,,8,32,,0.411,,eu-gb,eu-gb-3
bx2-8x32,,,8,32,,0.434,,jp-osa,jp-osa-1
bx2-8x32,,,8,32,,0.434,,jp-osa,jp-osa-2
bx2-8x32,,,8,32,,0.434,,jp-osa,jp-osa-3
bx2-8x32,,,8,32,,0.434,,jp-tok,jp-tok-1
bx2-8x32,,,8,32,,0.434,,jp-tok,jp-tok-2
bx2-8x32,,,8,32,,0.434,,jp-tok,jp-tok-3
bx2-8x32,,,8,32,,0.461,,au-syd,au-syd-1
bx2-8x32,,,8,32,,0.461,,au-syd,au-syd-2
bx2-8x32,,,8,32,,0.461,,au-syd,au-syd-3
bx2-8x32,,,8,32,,0.461,,br-sao,br-sao-1
bx2-8x32,,,8,32,,0.461,,br-sao,br-sao-2
bx2-8x32,,,8,32,,0.461,,br-sao,br-sao-3
