InstanceType,AcceleratorName,AcceleratorCount,vCPUs,MemoryGiB,Price,SpotPrice,Region,GpuInfo
neb-b200.sxm.1x,B200,1,20,224,0.01,0.01,us-central5-a,"{'Gpus': [{'Name': 'B200', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 184320}}], 'TotalGpuMemoryInMiB': 184320}"
a100-80gb.sxm.8x,A100,8,204,1520,0.08,0.08,us-central3-a,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 8, 'MemoryInfo': {'SizeInMiB': 81920}}], 'TotalGpuMemoryInMiB': 655360}"
a100-80gb.sxm.1x,A100,1,26,190,0.01,0.01,us-central3-a,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 81920}}], 'TotalGpuMemoryInMiB': 81920}"
neb-b200.sxm.8x,B200,8,160,1792,0.08,0.08,us-central5-a,"{'Gpus': [{'Name': 'B200', 'Manufacturer': 'NVIDIA', 'Count': 8, 'MemoryInfo': {'SizeInMiB': 184320}}], 'TotalGpuMemoryInMiB': 1474560}"
a100-40gb.2x,A100,2,58,402,0.02,0.02,us-central3-a,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 40960}}], 'TotalGpuMemoryInMiB': 81920}"
a100-40gb.4x,A100,4,118,806,0.04,0.04,us-central3-a,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 40960}}], 'TotalGpuMemoryInMiB': 163840}"
a100-80gb.sxm.2x,A100,2,52,380,0.02,0.02,us-central3-a,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 2, 'MemoryInfo': {'SizeInMiB': 81920}}], 'TotalGpuMemoryInMiB': 163840}"
a100-40gb.8x,A100,8,238,1612,0.08,0.08,us-central3-a,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 8, 'MemoryInfo': {'SizeInMiB': 40960}}], 'TotalGpuMemoryInMiB': 327680}"
a100-40gb.1x,A100,1,28,200,0.01,0.01,us-central3-a,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 1, 'MemoryInfo': {'SizeInMiB': 40960}}], 'TotalGpuMemoryInMiB': 40960}"
a100-80gb.sxm.4x,A100,4,102,760,0.04,0.04,us-central3-a,"{'Gpus': [{'Name': 'A100', 'Manufacturer': 'NVIDIA', 'Count': 4, 'MemoryInfo': {'SizeInMiB': 81920}}], 'TotalGpuMemoryInMiB': 327680}"
