TPU type,Zones
tpu-v2-8,"us-central1-b, us-central1-c, us-central1-f, europe-west4-a, asia-east1-c"
tpu-v2-32,"us-central1-a, europe-west4-a"
tpu-v2-128,"us-central1-a, europe-west4-a"
tpu-v2-256,"us-central1-a, europe-west4-a"
tpu-v2-512,"us-central1-a, europe-west4-a"
tpu-v3-8,"us-central1-a, us-central1-b, us-central1-f, europe-west4-a"
tpu-v3-32,"europe-west4-a, us-east1-d"
tpu-v3-64,"europe-west4-a, us-east1-d"
tpu-v3-128,"europe-west4-a, us-east1-d"
tpu-v3-256,"europe-west4-a, us-east1-d"
tpu-v3-512,"europe-west4-a, us-east1-d"
tpu-v3-1024,"europe-west4-a, us-east1-d"
tpu-v3-2048,"europe-west4-a, us-east1-d"
tpu-v4-8,"us-central2-b"
tpu-v4-16,"us-central2-b"
tpu-v4-32,"us-central2-b"
tpu-v4-64,"us-central2-b"
tpu-v4-128,"us-central2-b"
tpu-v4-256,"us-central2-b"
tpu-v4-384,"us-central2-b"
tpu-v4-512,"us-central2-b"
tpu-v4-640,"us-central2-b"
tpu-v4-768,"us-central2-b"
tpu-v4-896,"us-central2-b"
tpu-v4-1024,"us-central2-b"
tpu-v4-1152,"us-central2-b"
tpu-v4-1280,"us-central2-b"
tpu-v4-1408,"us-central2-b"
tpu-v4-1536,"us-central2-b"
tpu-v4-1664,"us-central2-b"
tpu-v4-1792,"us-central2-b"
tpu-v4-1920,"us-central2-b"
tpu-v4-2048,"us-central2-b"
tpu-v4-2176,"us-central2-b"
tpu-v4-2304,"us-central2-b"
tpu-v4-2432,"us-central2-b"
tpu-v4-2560,"us-central2-b"
tpu-v4-2688,"us-central2-b"
tpu-v4-2816,"us-central2-b"
tpu-v4-2944,"us-central2-b"
tpu-v4-3072,"us-central2-b"
tpu-v4-3200,"us-central2-b"
tpu-v4-3328,"us-central2-b"
tpu-v4-3456,"us-central2-b"
tpu-v4-3584,"us-central2-b"
tpu-v4-3712,"us-central2-b"
tpu-v4-3840,"us-central2-b"
tpu-v4-3968,"us-central2-b"
